id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
49107811,Ave Loft near downtown and Capitol Hill,4730169,Magic,Downtown,Yesler Terrace,47.60596,-122.32004,Entire home/apt,116,1,29,2021-09-20,11.30,15,1,29,STR-OPLI-19-000940
49112784,All-inclusive apartment home | 1BR in Seattle,359069961,Shelby,Delridge,North Delridge,47.56406,-122.37586,Entire home/apt,151,30,0,,,59,365,0,
49113608,Remodeled Family Craftsman | Upper Queen Anne,375166113,Emily,Queen Anne,East Queen Anne,47.63632,-122.35343,Entire home/apt,499,3,8,2021-09-07,2.29,1,282,8,STR-OPLI-21-000275
49113623,Artist's Cozy Home w/ Parking,68726541,Barron,Beacon Hill,Mid-Beacon Hill,47.54963,-122.30536,Entire home/apt,196,1,22,2021-09-10,22,2,1,22,STR-OPLI-21-000343
49113826,Amazing Private Seattle Getaway Home!,188538325,Xiao,Rainier Valley,Rainier View,47.51028,-122.24668,Entire home/apt,295,3,9,2021-09-06,2.81,1,347,9,STR-OPLI-21-000235
49114399,"""Happy Home"" Private Room A (LG Floor) in Seattle",366743289,Nova,Beacon Hill,South Beacon Hill,47.53029,-122.28892,Private room,50,1,11,2021-08-15,11,6,0,11,STR-OPLI-20-000488
49128387,Wa Na Wari Apartment,146364877,Elisheba,Central Area,Minor,47.61136,-122.30293,Entire home/apt,103,2,21,2021-09-08,3.91,1,126,21,STR-OPLI-21-000237
49144243,3 BR spacious house in the heart of West Seattle,22556518,Brett,West Seattle,Fairmount Park,47.55746,-122.38158,Entire home/apt,250,3,6,2021-09-19,4.50,1,48,6,STR-OPLI-21-000692
49154057,Stunning West Seattle View House,12913415,Michelle,West Seattle,North Admiral,47.587013,-122.393311,Entire home/apt,250,3,7,2021-09-11,1.59,2,326,7,STR-OPLI-19-001727
49158994,Fantastic Location in Queen Anne Downtown Seattle,99932610,"MGRE 105 Mercer, LLC",Queen Anne,Lower Queen Anne,47.62373,-122.35456,Entire home/apt,98,30,7,2021-08-10,2.21,5,34,7,STR-OPLI-19-003192
49159858,Beautiful luxurious sunny 1 bd/1ba belltown condo,22059674,Deepika,Downtown,Belltown,47.61618,-122.3509,Entire home/apt,130,30,0,,,1,330,0,
49169308,Light-filled modern townhome with private rooftop,90647253,Camille,Other neighborhoods,Fremont,47.65523,-122.35738,Entire home/apt,299,3,2,2021-08-13,1.22,1,356,2,STR-OPLI-21-000633
49169316,"Premium South Lake Union 2BR w/ Gym, BBQ, nr. Amazon by Blueground",107434423,Blueground,Downtown,Belltown,47.61718,-122.331375,Entire home/apt,244,30,0,,,149,350,0,
49173341,"Belltown Classy Condo: 99 Walkscore, Rooftop Views",246393790,Ken,Downtown,Belltown,47.61661,-122.34556,Entire home/apt,146,1,28,2021-09-16,5.75,2,165,28,STR-OPLI-21-000289
49173794,Beautiful Apartment on top of Queen Anne Hill.,106551502,Daniel,Queen Anne,North Queen Anne,47.64472,-122.36689,Entire home/apt,130,2,26,2021-09-23,5.34,1,306,26,STR-OPLI-19-003147
49176017,Stunning studio in trendy house - Apt B,32059522,Renato,Central Area,Minor,47.60583,-122.31668,Entire home/apt,112,4,14,2021-09-07,7.50,2,17,14,STR-OPLI-19-003281
49180183,Stylish Apt in Cap Hill with Breathtaking Views,85145801,Andrea,Capitol Hill,Broadway,47.62736,-122.31674,Entire home/apt,119,2,31,2021-09-22,15.50,1,16,31,STR-OPLI-21-000240
49180387,Modern Townhome 4 Bedrooms - North Beacon Hill,362445220,Ying,Beacon Hill,North Beacon Hill,47.58508,-122.31231,Entire home/apt,226,2,11,2021-08-29,2.34,1,156,11,STR-OPLI-20-000365
49196210,Charming 3 Bedroom Seattle Home with 94 Walk Score,7506078,Lisa,Other neighborhoods,Roosevelt,47.67686,-122.31205,Entire home/apt,229,2,9,2021-09-12,3.25,2,72,9,STR-OPLI-19-002859
49198120,Lake Union Historic Home,39834464,Vera,Capitol Hill,Portage Bay,47.64171,-122.32279,Entire home/apt,315,30,0,,,51,365,0,STR-OPLI-19-000080
49202754,"Stunning South Lake Union 2BR w/ Gym, BBQ, near Amazon, by Blueground",107434423,Blueground,Downtown,Belltown,47.61718,-122.331375,Entire home/apt,247,30,0,,,149,347,0,
49203012,"Impeccable South Lake Union 2BR w/ Gym, BBQ, near Amazon, by Blueground",107434423,Blueground,Downtown,Belltown,47.61718,-122.331375,Entire home/apt,242,30,0,,,149,349,0,
49206176,Modern  Loft on First Hill,4730169,Magic,Downtown,Yesler Terrace,47.60521,-122.32083,Entire home/apt,104,1,15,2021-09-20,2.90,15,325,15,STR-OPLI-19-000940
49209662,Trendy Boutique Hotel in Downtown Seattle,396946288,The Charter,Downtown,Central Business District,47.61183,-122.33931,Private room,142,3,15,2021-09-21,2.78,4,9,15,Exempt
49211457,6th months or longer home in the Heart of Seattle,160392384,Jeff,Downtown,Belltown,47.61781,-122.33129,Entire home/apt,3000,180,0,,,1,358,0,
49219256,Chickadee Room Historic Panama Hotel Intl District,1608733,Bean,Downtown,International District,47.59984,-122.32596,Private room,87,1,31,2021-09-06,6.04,15,342,31,Exempt
49229073,Hotel Theodore,267653164,Hotel Theodore,Downtown,Central Business District,47.612531796057745,-122.33328719119497,Hotel room,0,1,119,2021-09-08,5.78,1,0,110,
49229904,Casa Ballard-Mid-Century Modern Entire House,4376788,Carla,Ballard,Whittier Heights,47.67671,-122.36836,Entire home/apt,299,4,2,2021-09-13,0.50,3,177,2,STR-OPLI-20-000461
49245495,Stunning Water Views! Harbor Steps~~Best Location!,54518454,Debra,Downtown,Central Business District,47.6079,-122.33801,Entire home/apt,399,2,1,2021-08-29,1,10,299,1,STR-OPLI-19-002092
49246564,Private Unit. Walk's Paradise. Good Transit,289666185,Nhat,Rainier Valley,Columbia City,47.56013,-122.29059,Entire home/apt,125,2,1,2021-05-02,0.20,2,176,1,STR-OPLI-21-000262
49247736,Newly renovated private 1 bedroom Fremont Suite,35563669,Priscilla,Other neighborhoods,Fremont,47.65929,-122.35469,Entire home/apt,155,2,15,2021-09-05,7.63,2,11,15,STR-OPLI-19-000258
49249731,Volunteer Park Escape,39834464,Vera,Capitol Hill,Broadway,47.62405,-122.31398,Entire home/apt,114,30,0,,,51,306,0,
